n;heapsort;insertionsort;introsort;mergesort;quicksort;selectionsort;timsort
10;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;0.0;0.1002;0.0;0.0;0.0;0.0;0.0
50;1.562;0.8064;0.0;0.0;0.0;0.0;0.0
75;0.0;0.9228;1.5622;1.5623;0.0;1.5568;0.0
100;0.0;1.2101;0.0;0.0;1.5622;1.5566;0.0
250;1.5615;7.1087;1.5622;3.1243;0.0;18.4276;3.1204
500;7.8108;28.7011;3.1171;3.1244;0.0;35.983;1.5572
750;9.3823;63.8687;4.6863;9.3746;0.0;79.6047;1.5607
1000;7.8193;113.0497;3.3257;6.2419;3.1286;133.5158;3.0926
2500;32.7919;715.2386;17.3359;26.5497;14.06;951.1934;20.3025
5000;74.9949;3097.4381;29.3388;60.9334;43.7438;4108.1858;48.4154
7500;115.602;6750.4374;56.243;73.4149;64.044;7966.4567;67.1599
10000;143.7077;11263.764;67.1624;106.1862;71.8488;14053.1711;103.08
25000;368.6491;79620.4798;178.7299;273.3737;198.3727;92174.4543;309.3023
50000;938.2956;372781.1871;386.8469;615.4654;448.3309;413355.9318;552.9885
75000;1514.7129;910683.3579;750.8418;1063.8088;876.3685;899257.9418;1257.5212
100000;2013.0614;{};754.0915;1987.53;1414.2246;{};1751.6142
250000;6686.4007;{};2386.3606;4424.4529;3279.3814;{};3445.4679
500000;12786.5643;{};6658.5587;8151.7016;7025.4256;{};7980.756
750000;17956.2106;{};10138.76;12443.942;9539.9432;{};11441.0671
1000000;23507.8259;{};11687.7367;15681.2231;12537.148;{};15102.7042
2500000;59638.8802;{};33157.7635;39776.4992;35745.7827;{};38786.6744
5000000;125345.5369;{};63211.7317;78316.8513;67412.1192;{};79972.7382
7500000;194773.1934;{};94778.9528;121352.346;102603.8927;{};116318.1357